Flight ID,Carrier,Origin,Destination,Local Departure Time,Normalized Departure Time [min],Local Arrival Time,Normalized Arrival Time [min],Flight Cancelled?,Number of Seats
6823337,XE,DAY,CLE,29-JUL-07 05.15.00.000000000 PM AMERICA/NEW_YORK,1010,29-JUL-07 06.14.00.000000000 PM AMERICA/NEW_YORK,1069,0,50
6823338,XE,ROC,CLE,29-JUL-07 02.55.00.000000000 PM AMERICA/NEW_YORK,870,29-JUL-07 04.02.00.000000000 PM AMERICA/NEW_YORK,937,0,50
6823340,XE,CLE,IAD,29-JUL-07 08.15.00.000000000 PM AMERICA/NEW_YORK,1190,29-JUL-07 09.32.00.000000000 PM AMERICA/NEW_YORK,1267,0,37
6823345,XE,RDU,CLE,29-JUL-07 02.25.00.000000000 PM AMERICA/NEW_YORK,840,29-JUL-07 03.59.00.000000000 PM AMERICA/NEW_YORK,934,0,50
6823347,XE,BNA,CLE,29-JUL-07 05.40.00.000000000 PM AMERICA/CHICAGO,1095,29-JUL-07 08.09.00.000000000 PM AMERICA/NEW_YORK,1184,0,50
6823352,XE,EWR,ACK,29-JUL-07 12.30.00.000000000 PM AMERICA/NEW_YORK,725,29-JUL-07 01.47.00.000000000 PM AMERICA/NEW_YORK,802,0,37
6823353,XE,EWR,ACK,29-JUL-07 05.30.00.000000000 PM AMERICA/NEW_YORK,1025,29-JUL-07 06.57.00.000000000 PM AMERICA/NEW_YORK,1112,1,40
6823359,XE,IAH,TUL,29-JUL-07 07.05.00.000000000 PM AMERICA/CHICAGO,1180,29-JUL-07 08.37.00.000000000 PM AMERICA/CHICAGO,1272,0,50
6823360,XE,EWR,CVG,29-JUL-07 03.30.00.000000000 PM AMERICA/NEW_YORK,905,29-JUL-07 05.45.00.000000000 PM AMERICA/NEW_YORK,1040,1,40
6823363,XE,BUF,EWR,29-JUL-07 04.50.00.000000000 PM AMERICA/NEW_YORK,985,29-JUL-07 06.19.00.000000000 PM AMERICA/NEW_YORK,1074,0,50
6823365,XE,MKE,CLE,29-JUL-07 12.20.00.000000000 PM AMERICA/CHICAGO,775,29-JUL-07 02.37.00.000000000 PM AMERICA/NEW_YORK,852,0,50
6823368,XE,IAH,LFT,29-JUL-07 12.45.00.000000000 PM AMERICA/CHICAGO,800,29-JUL-07 01.42.00.000000000 PM AMERICA/CHICAGO,857,0,37
6824057,XE,CLE,GRR,29-JUL-07 08.55.00.000000000 PM AMERICA/NEW_YORK,1230,29-JUL-07 09.55.00.000000000 PM AMERICA/NEW_YORK,1290,0,50
6824058,XE,IAH,TLH,29-JUL-07 03.35.00.000000000 PM AMERICA/CHICAGO,970,29-JUL-07 06.35.00.000000000 PM AMERICA/NEW_YORK,1090,0,50
