,,,out,,,,,,
6849165,YV,ATL,ORD,29-JUL-07 06.00.00.000000000 AM AMERICA/NEW_YORK,335,29-JUL-07 06.58.00.000000000 AM AMERICA/CHICAGO,453,0,65
6849166,YV,ATL,ORD,29-JUL-07 11.21.00.000000000 AM AMERICA/NEW_YORK,656,29-JUL-07 12.30.00.000000000 PM AMERICA/CHICAGO,785,0,65
6922304,OO,ATL,BHM,29-JUL-07 05.24.00.000000000 PM AMERICA/NEW_YORK,1019,29-JUL-07 05.20.00.000000000 PM AMERICA/CHICAGO,1075,0,90
6922306,OO,ATL,COS,29-JUL-07 08.07.00.000000000 PM AMERICA/NEW_YORK,1182,29-JUL-07 09.18.00.000000000 PM AMERICA/DENVER,1373,0,90
6922307,OO,PIT,ATL,29-JUL-07 01.30.00.000000000 PM AMERICA/NEW_YORK,785,29-JUL-07 03.19.00.000000000 PM AMERICA/NEW_YORK,894,0,90
6922308,OO,TUS,ATL,29-JUL-07 11.30.00.000000000 PM US/ARIZONA,1565,30-JUL-07 06.00.00.000000000 AM AMERICA/NEW_YORK,1775,0,90
6922313,OO,BUF,ATL,29-JUL-07 12.25.00.000000000 PM AMERICA/NEW_YORK,720,29-JUL-07 02.35.00.000000000 PM AMERICA/NEW_YORK,850,0,90
6922314,OO,ATL,MKE,29-JUL-07 03.30.00.000000000 PM AMERICA/NEW_YORK,905,29-JUL-07 04.41.00.000000000 PM AMERICA/CHICAGO,1036,0,90
6922315,OO,ATL,DAY,29-JUL-07 04.25.00.000000000 PM AMERICA/NEW_YORK,960,29-JUL-07 06.08.00.000000000 PM AMERICA/NEW_YORK,1063,0,90
6922316,OO,BUF,ATL,29-JUL-07 02.55.00.000000000 PM AMERICA/NEW_YORK,870,29-JUL-07 05.05.00.000000000 PM AMERICA/NEW_YORK,1000,0,90
6922320,OO,ATL,TUS,29-JUL-07 09.15.00.000000000 PM AMERICA/NEW_YORK,1250,29-JUL-07 10.05.00.000000000 PM US/ARIZONA,1480,0,90
6922325,OO,ORD,ATL,29-JUL-07 11.30.00.000000000 AM AMERICA/CHICAGO,725,29-JUL-07 02.25.00.000000000 PM AMERICA/NEW_YORK,840,0,90
6922332,OO,XNA,ATL,29-JUL-07 12.15.00.000000000 PM AMERICA/CHICAGO,770,29-JUL-07 02.55.00.000000000 PM AMERICA/NEW_YORK,870,0,90
6922335,OO,ATL,GSP,29-JUL-07 05.05.00.000000000 PM AMERICA/NEW_YORK,1000,29-JUL-07 06.07.00.000000000 PM AMERICA/NEW_YORK,1062,0,90
6922283,OO,HOU,ATL,29-JUL-07 09.10.00.000000000 AM AMERICA/CHICAGO,585,29-JUL-07 12.17.00.000000000 PM AMERICA/NEW_YORK,712,0,90
6922285,OO,MSP,ATL,29-JUL-07 12.02.00.000000000 PM AMERICA/CHICAGO,757,29-JUL-07 03.40.00.000000000 PM AMERICA/NEW_YORK,915,0,90
6922286,OO,ATL,HOU,29-JUL-07 04.22.00.000000000 PM AMERICA/NEW_YORK,957,29-JUL-07 05.31.00.000000000 PM AMERICA/CHICAGO,1086,0,90
6922288,OO,ATL,PIT,29-JUL-07 11.16.00.000000000 AM AMERICA/NEW_YORK,651,29-JUL-07 01.00.00.000000000 PM AMERICA/NEW_YORK,755,0,90
6922290,OO,ATL,MSP,29-JUL-07 09.55.00.000000000 PM AMERICA/NEW_YORK,1290,29-JUL-07 11.39.00.000000000 PM AMERICA/CHICAGO,1454,0,90
6922291,OO,PIT,ATL,29-JUL-07 06.51.00.000000000 PM AMERICA/NEW_YORK,1106,29-JUL-07 08.40.00.000000000 PM AMERICA/NEW_YORK,1215,0,90
7009156,US,ATL,CLT,29-JUL-07 11.20.00.000000000 AM AMERICA/NEW_YORK,655,29-JUL-07 12.31.00.000000000 PM AMERICA/NEW_YORK,726,0,126
7009236,US,CLT,ATL,29-JUL-07 08.00.00.000000000 PM AMERICA/NEW_YORK,1175,29-JUL-07 09.20.00.000000000 PM AMERICA/NEW_YORK,1255,0,126
7028783,DL,ATL,SAN,29-JUL-07 09.39.00.000000000 PM AMERICA/NEW_YORK,1274,29-JUL-07 11.00.00.000000000 PM AMERICA/LOS_ANGELES,1535,0,186
7028784,DL,CAE,ATL,29-JUL-07 07.45.00.000000000 AM AMERICA/NEW_YORK,440,29-JUL-07 08.51.00.000000000 AM AMERICA/NEW_YORK,506,0,142
7028785,DL,GSO,ATL,29-JUL-07 05.55.00.000000000 PM AMERICA/NEW_YORK,1050,29-JUL-07 07.12.00.000000000 PM AMERICA/NEW_YORK,1127,0,142
7028786,DL,ATL,BNA,29-JUL-07 07.59.00.000000000 PM AMERICA/NEW_YORK,1174,29-JUL-07 08.04.00.000000000 PM AMERICA/CHICAGO,1239,0,142
7028788,DL,BNA,ATL,29-JUL-07 07.15.00.000000000 AM AMERICA/CHICAGO,470,29-JUL-07 09.26.00.000000000 AM AMERICA/NEW_YORK,541,0,142
7028789,DL,ATL,PBI,29-JUL-07 10.11.00.000000000 AM AMERICA/NEW_YORK,586,29-JUL-07 12.02.00.000000000 PM AMERICA/NEW_YORK,697,0,142
7028792,DL,PHX,ATL,29-JUL-07 03.06.00.000000000 PM US/ARIZONA,1061,29-JUL-07 09.48.00.000000000 PM AMERICA/NEW_YORK,1283,0,150
7028794,DL,SLC,ATL,29-JUL-07 04.40.00.000000000 PM AMERICA/DENVER,1095,29-JUL-07 10.21.00.000000000 PM AMERICA/NEW_YORK,1316,0,148
7028796,DL,ATL,TPA,29-JUL-07 03.25.00.000000000 PM AMERICA/NEW_YORK,900,29-JUL-07 04.47.00.000000000 PM AMERICA/NEW_YORK,982,0,148
7028800,DL,ATL,TPA,29-JUL-07 10.41.00.000000000 PM AMERICA/NEW_YORK,1336,29-JUL-07 11.58.00.000000000 PM AMERICA/NEW_YORK,1413,0,183
7028804,DL,IAH,ATL,29-JUL-07 07.10.00.000000000 AM AMERICA/CHICAGO,465,29-JUL-07 10.13.00.000000000 AM AMERICA/NEW_YORK,588,0,142
7035579,EV,ATL,CAK,29-JUL-07 07.44.00.000000000 AM AMERICA/NEW_YORK,439,29-JUL-07 09.25.00.000000000 AM AMERICA/NEW_YORK,540,0,50
